step,step_loss,lr
246,0.046751,0.00009984
247,0.259194,0.00009983
248,0.125662,0.00009982
249,0.204930,0.00009982
250,0.109643,0.00009981
251,0.225746,0.00009980
252,0.071468,0.00009979
253,0.232213,0.00009979
254,0.077185,0.00009978
255,0.136679,0.00009977
256,0.167563,0.00009976
257,0.141850,0.00009975
258,0.122688,0.00009974
259,0.060015,0.00009974
260,0.258213,0.00009973
261,0.240576,0.00009972
262,0.295565,0.00009971
263,0.157710,0.00009970
264,0.247625,0.00009969
265,0.205718,0.00009968
266,0.206670,0.00009967
267,0.105021,0.00009966
268,0.242732,0.00009965
269,0.144440,0.00009964
270,0.201878,0.00009963
271,0.271218,0.00009962
272,0.189594,0.00009961
273,0.044049,0.00009959
274,0.188542,0.00009958
275,0.169787,0.00009957
276,0.195711,0.00009956
277,0.107388,0.00009955
278,0.166249,0.00009954
279,0.236905,0.00009953
280,0.118316,0.00009951
281,0.163293,0.00009950
282,0.137196,0.00009949
283,0.193472,0.00009948
284,0.090542,0.00009946
285,0.164996,0.00009945
286,0.188069,0.00009944
287,0.105909,0.00009942
288,0.219830,0.00009941
289,0.191413,0.00009940
290,0.230564,0.00009938
291,0.245238,0.00009937
292,0.100469,0.00009936
293,0.241844,0.00009934
294,0.062286,0.00009933
295,0.284017,0.00009931
296,0.108529,0.00009930
297,0.142299,0.00009929
298,0.189593,0.00009927
299,0.243819,0.00009926
300,0.129035,0.00009924
301,0.035367,0.00009923
302,0.089777,0.00009921
303,0.163664,0.00009919
304,0.221343,0.00009918
305,0.179287,0.00009916
306,0.093669,0.00009915
307,0.087211,0.00009913
308,0.053275,0.00009911
309,0.160305,0.00009910
310,0.155083,0.00009908
311,0.113759,0.00009906
312,0.123521,0.00009905
313,0.183852,0.00009903
314,0.135362,0.00009901
315,0.026504,0.00009900
316,0.243115,0.00009898
317,0.118257,0.00009896
318,0.075180,0.00009894
319,0.321202,0.00009893
320,0.110611,0.00009891
321,0.105572,0.00009889
322,0.379353,0.00009887
323,0.132633,0.00009885
324,0.286473,0.00009883
325,0.252101,0.00009881
326,0.160596,0.00009880
327,0.102821,0.00009878
328,0.191743,0.00009876
329,0.053805,0.00009874
330,0.142265,0.00009872
331,0.067965,0.00009870
332,0.140888,0.00009868
